record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate,sell_margin_pct,buy_margin_pct,od_buy_margin_pct
native,dbs,PLN,SGD,PLN/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.3508,,,,,,
native,dbs,QAR,SGD,QAR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.3583,,,,,,
native,dbs,QAR,SGD,QAR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.3597,,,,,,
native,dbs,RUB,SGD,RUB/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,,,,,,,
native,dbs,RUB,SGD,RUB/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,,,,,,,
native,dbs,SAR,SGD,SAR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,34.4611,,,,,,
native,dbs,SAR,SGD,SAR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,34.4611,,,,,,
native,dbs,SEK,SGD,SEK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.136,0.1323,0.1287,0.13415,1.379053298546417,1.3790532985463964,4.062616474096148
native,dbs,SEK,SGD,SEK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.1365,0.1318,0.1287,0.13415,1.7517704062616615,1.7517704062616408,4.062616474096148
native,dbs,THB,SGD,THB/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,3.9225,3.8095,3.7297,3.8659999999999997,1.461458872219354,1.4614588722193425,3.5256078634247254
native,dbs,THB,SGD,THB/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,3.9266,3.8053,3.7297,3.8659499999999998,1.5688252564052902,1.5688252564052787,3.524360118470234
native,dbs,TND,SGD,TND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.4444,,,,,,
native,dbs,TND,SGD,TND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,0.4444,,,,,,
native,dbs,TWD,SGD,TWD/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,4.0494,,,,,,
native,dbs,TWD,SGD,TWD/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-18 21:15:00,2026-08-18 13:15:13,2026-08-18T13:22:00.466139+00:00,4.0534,,,,,,
